id|cod_teatro|longitude|latitude|tipogeo|uf|municipio|cod_ibge|nome|cod_orig|end_orig|bairro_orig|cep_orig|tipo_logradouro|nome_logradouro|km|num_logradouro|compl_logradouro|bairro|cep|ddd|telefone1|telefone2|fax|email|site|esfera_adm|tipo_esfera|sniic_n1|sniic_n2|sniic_n3|cnpj|situacao|cod_adm|tipo|numero_lugares|data_inauguracao|ano_inauguracao|ano_desaparecimento|data_info
231|2605400|-34.914658|-8.027277|2|PE|Recife|2611606|Teatro do Parque Cultural Sítio da Trindade|2294|Estrada do Arraial, s/n| |52070-231|ESTR|DO ARRAIAL| |S/N| | |52070-231|81|3268-5107| | |concamarotti@yahoo.com.br| |Pública|Municipal|1|1.3|1.3.1| |1| |Arena|300| |1960| |16-SEP-2002
232|2605500|-34.872706|-8.06183|2|PE|Recife|2611606|Teatro Hermilo Borba Filho|487|Rua XV de Novembro, 78|Tejipió|50920-530|R|XV DE NOVEMBRO| |78| |TEJIPIO|50920-530|81|3224-1114|3424-5429| |apolohermilo@recife.pe.gov.br| |Pública|Municipal|1|1.3|1.3.1| |1| |Múltiplo|150| | | |21-SEP-2001
233|2605600|-34.888475|-8.064038|1|PE|Recife|2611606|Teatro Inácia Raposo|2292|Rua da Glória, 465| |50060-280|R|DA GLORIA| |465| | |50060-280|81|3421-3503| | |dramart@bol.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|100| |1994| |16-SEP-2002
234|2605700|-34.90209|-8.059724|2|PE|Recife|2611606|Teatro Joaquim Cardozo|374|Rua Benfica, 157|Madalena|50750-410|R|BENFICA| |157| |MADALENA|50750-410|81|3227-0657|3228-6589| |dec@proext.ufpe.br| |Pública|Federal|1|1.3|1.3.1| |1| |Italiano|50| |1980| |16-SEP-2002
235|2605800|-34.898567|-8.058921|1|PE|Recife|2611606|Teatro José Carlos C. Borges|699|Rua Henrique Dias, 609|Derby|52010-100|R|HENRIQUE DIAS| |609| |DERBY|52010-100|81|3421-3266| | |teatro@fundaj.gov.br| |Pública|Federal|1|1.3|1.3.1| |1| |Italiano|322| |1988| |16-SEP-2002
236|2605900|-34.900226|-8.051126|1|PE|Recife|2611606|Teatro Ribalta|2295|Rua das Pernambucanas, 65| |52011-010|R|DAS PERNAMBUCANAS| |65| | |52011-010|81|3231-4884| | | | |Privada| |1|1.3|1.3.2| |1| |Italiano|300| |1997| |16-SEP-2002
237|2606000|-34.893193|-8.060504|1|PE|Recife|2611606|Teatro Salesiano|2296|Rua Dom Bosco, 551| |50070-070|R|DOM BOSCO| |551| | |50070-070|81|3423-8022| | |salesiano@salesianorecife.com.br| |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|800| |1987| |16-SEP-2002
238|2606100|-34.896471|-8.112965|1|PE|Recife|2611606|Teatro Santa Maria|2297|Rua Padre Bernardino Pessoa, 512| |51020-210|R|PADRE BERNARDINO PESSOA| |512| | |51020-210|81|3465-5133| | |cstmar@truenet.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|450| |1991| |16-SEP-2002
239|2606200|-34.882268|-8.050057|2|PE|Recife|2611606|Teatro SESC - Santo Amaro|956|Rua 13 de maio, 455|Santo Amaro|50100-170|R|13 DE MAIO| |455| |SANTO AMARO|50100-170|81|3216-1616|3421-6244| |nanmarques@zipmail.com.br| |Privada| |1|1.3|1.3.2| |1|0|Italiano|172| |1969| |16-SEP-2002
240|2606300|-34.891374|-8.054979|1|PE|Recife|2611606|Teatro Waldemar de Oliveira|701|Praça Oswaldo Cruz, 412|Boa Vista|50050-210|PCA|OSWALDO CRUZ| |412| |BOA VISTA|50050-210|81|3222-1200|3222-1284| | | |Privada| |1|1.3|1.3.2| |1| |Italiano|400| |1971| |16-SEP-2002
241|2606400|-34.877385|-8.047071|2|PE|Recife|2611606|TPC - Teatro Popular dos Coelhos|180|Rua Ibituruna, 110|Coelho|50000-000|R|IBITURUNA| |110| |COELHO|50000-000|81| | | | | |Privada| |1|1.3|1.3.2| |8| | | | | | |26-MAR-1997
242|2606500|-39.132749|-8.073066|2|PE|Salgueiro|2612208|Teatro Municipal Urbano Parente Muniz|376|Rua Carlos Soares de Brito, s/n.|Santo Antônio|56000-000|R|CARLOS SOARES DE BRITO| |S/N| |SANTO ANTONIO|56000-000|87| | | | | |Pública|Municipal|1|1.3|1.3.1| |1| | | | | | |01-JUN-1994
243|2606600|-36.237934|-7.939656|1|PE|Santa Cruz do Capibaribe|2612505|Teatro Municipal Emídio Eduardo Bernardino Martins|2298|Rua José Bernardino Gomes, s/n| |55190-000|R|JOSE BERNARDINO GOMES| |S/N| | |55190-000|81|3731-1587| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|220| |2000| |16-SEP-2002
244|2606700|-35.038504|-7.994799|2|PE|São Lourenço da Mata|2613701|Cine-Teatro Royal|2299|Av. Dr. Pedro Correia, s/n| |54730-970|AV|DOUTOR PEDRO CORREIA| |S/N| | |54730-970|81|3525-2943| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|240| |1990| |16-SEP-2002
245|2606800|-36.092408|-7.888009|2|PE|Taquaritinga do Norte|2615003|Anfiteatro do PRONAICA|2301|Rodovia PE 130, km 2|Amorim|55790-000|ROD|PE-130|KM 2|0| |AMORIM|55790-000|81|3733-1126| | |gmtqn@netstage.com.br| | | |1|1.3| | |1| |Arena|150| |1998| |16-SEP-2002
246|2606900|-36.092462|-7.888022|2|PE|Taquaritinga do Norte|2615003|Auditório do CAIC|2300|Rodovia PE 130, km 2|Amorim|55790-000|ROD|PE-130|KM 2|0| |AMORIM|55790-000|81|3733-1126| | |gmtqn@netstage.com.br| | | |1|1.3| | |1| |Arquitetônico Alternativo|200| |1998| |16-SEP-2002
247|2607000|-35.317693|-7.510984|2|PE|Timbaúba|2615300|Teatro Recreio Benjamim|377|Rua Alcebíades, 17| |55870-000|R|ALCEBIADES| |17| | |55870-000|81|3631-0622| | | | |Privada| |1|1.3|1.3.2| |1| |Italiano|500| |1916| |16-SEP-2002
248|2607100|-38.100136|-7.840409|2|PE|Triunfo|2615706|Cine-Teatro Guarany|2302|Praça Carolino Campos, s/n| |56870-000|PCA|CAROLINO CAMPOS| |S/N| | |56870-000|81|3846-1256| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|400| |1918| |16-SEP-2002
249|2607200|-35.301741|-8.118004|2|PE|Vitória de Santo Antão|2616407|Teatro do DAMAS|2303|Rua Melo Verçosa, s/n| |55600-000|R|MELO VERCOSA| |S/N| | |55600-000|81|3523-2165| | | | |Privada| |1|1.3|1.3.2| |1| |Italiano|700| |1949| |16-SEP-2002
250|2607300|-35.29716|-8.120808|2|PE|Vitória de Santo Antão|2616407|Teatro Iracema|2304|Praça João Pessoa, s/n| |55600-000|PCA|JOAO PESSOA| |S/N| | |55600-000|81|3523-4414| | | | |Privada| |1|1.3|1.3.2| |1| |Italiano|700| |1949| |16-SEP-2002
251|2607400|-35.295425|-8.121154|2|PE|Vitória de Santo Antão|2616407|Teatro Radar|2306|Rua Pedro Ribeiro, 85| |55600-000|R|PEDRO RIBEIRO| |85| | |55600-000|81|3523-0012| | |avecfacol@vk.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|150| |1999| |16-SEP-2002
252|2607500|-35.29417|-8.116748|2|PE|Vitória de Santo Antão|2616407|Teatro Silogeu|2305|Praça Diogo de Braga, s/n| |55600-000|PCA|DIOGO DE BRAGA| |S/N| | |55600-000|81|3523-4414| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|220| |1945| |16-SEP-2002
253|2700100|-36.658541|-9.753984|1|AL|Arapiraca|2700300|Teatro N.S. do Bom Conselho|1091|Rua Estudante José de Oliveira Leite, 438|Centro|57301-060|R|ESTUDANTE JOSE DE OLIVEIRA LEITE| |438| |CENTRO|57301-060|82|522-1472|521-2353|522-1999|cbc@oops.com.br| |Privada| |1|1.3|1.3.2| |4|0|Arena|200| | | |16-SEP-2002
254|2700200|-35.73529|-9.66641|2|AL|Maceió|2704302|FUNTED - Teatro de Arena Sérgio Cardoso|586|Praça Marechal Deodoro, s/n|Centro|57020-040|PCA|MARECHAL DEODORO| |S/N| |CENTRO|57020-040|82|315-5252|326-5353| | |www.funted.al.gov.br/arenamenu.htm|Pública|Estadual|1|1.3|1.3.1| |1| |Arena|200|14-JUL-1972|1972| |16-SEP-2002
255|2700300|-35.731767|-9.666579|2|AL|Maceió|2704302|FUNTED - Teatro Deodoro|680|Praça Marechal Deodoro,  17|Centro|57020-040|PCA|MARECHAL DEODORO| |17| |CENTRO|57020-040|82|223-3897| | | |www.funted.al.gov.br|Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|690|15-NOV-1910|1910| |15-SEP-2002
256|2700400|-35.708116|-9.660128|1|AL|Maceió|2704302|Teatro Cena Livre|2198|Av. Doutor José Sampaio Luz, 224| |57035-260|AV|DOUTOR JOSE SAMPAIO LUZ| |224| | |57035-260|82|327-8623|231-7217| | | |Privada| |1|1.3|1.3.2| |1| |Arquitetônico Alternativo|150| |1998| |16-SEP-2002
257|2700500|-35.735457|-9.640642|2|AL|Maceió|2704302|Teatro de Arena Linda Mascarenhas|585|Avenida Fernandes Lima, s/n|Farol|57050-000|AV|FERNANDES LIMA| |S/N| |FAROL|57050-000|82|218-8609| | |izt@uol.com.br| |Pública|Estadual|1|1.3|1.3.1| |2| |Arena|100| |1987| |16-SEP-2002
258|2700600|-35.737074|-9.667074|1|AL|Maceió|2704302|Teatro de Bolso Lima Filho|587|Rua Dr. Pedro Monteiro, 108|Centro|57020-380|R|DOUTOR PEDRO MONTEIRO| |108| |CENTRO|57020-380|82|315-1912|315-1933| |alculturra@bol.com.br| |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|180| |1946| |16-SEP-2002
259|2700700|-35.730088|-9.658308|2|AL|Maceió|2704302|Teatro do Colégio Marista|2199|Av. Dom Antonio Brandão, 564| |57021-190|AV|DOM ANTONIO BRANDAO| |564| | |57021-190|82|223-2760|223-2023| |alvina@marista-mcz.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|500| |1998| |16-SEP-2002
260|2700800|-35.741878|-9.661472|1|AL|Maceió|2704302|Teatro SESC - Joffre Soares|1244|Rua Barão de Alagoas, 229|Centro|57020-210|R|BARAO DE ALAGOAS| |229| |CENTRO|57020-210|82|326-3133| | |carc.@sesc-al.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|120| |1997| |16-SEP-2002
261|2700900|-36.582243|-10.287851|2|AL|Penedo|2706703|Teatro Sete de Setembro (Fotos e Histórico)|588|Praça Floriano Peixoto, s/n| | |PCA|FLORIANO PEIXOTO| |S/N| | | |82|3551-2727| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|400|08-SEP-1884|1884| |15-SEP-2002
262|2800100|-37.062834|-10.910144|2|SE|Aracaju|2800308|Centro de Criatividade - Sala Cândida Ribeiro|977|Praça Saturnino de Brito, s/n|Getúlio Vargas|49055-660|PCA|SATURNINO DE BRITO| |S/N| |GETULIO VARGAS|49055-660|79|3179-1909| | | | |Pública|Estadual|1|1.3|1.3.1| |1|0|Italiano|118| |1985| |01-MAR-2008
263|2800200|-37.05346|-10.922049|2|SE|Aracaju|2800308|Teatro Atheneu|708|Rua Vila Cristina, 999|São José|49015-000|R|VILA CRISTINA| |999| |SAO JOSE|49015-000|79|3179-1910|3179-1901| |teatroatheneu@expresso.se.gov.br|www.teatro.se.gov.br|Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|900|28-MAR-1954|1954| |07-APR-2008
264|2800300|-37.057619|-10.896995|1|SE|Aracaju|2800308|Teatro Imbuaça|2104|Rua Muriboca, 4|Santo Antônio|49060-470|R|MURIBOCA| |4| |SANTO ANTONIO|49060-470|79|215-3064| |215-3064|gimbuaca@infonet.com.br| |Privada| |1|1.3|1.3.2| |1| |Múltiplo|140| |2002| |16-SEP-2002
265|2800400|-37.054898|-10.911359|1|SE|Aracaju|2800308|Teatro Tiradentes|486|Rua Simão Dias, 236|Centro|49010-430|R|SIMAO DIAS| |236| |CENTRO|49010-430|79|218-2100| | | | |Privada| |1|1.3|1.3.2| |1| |Italiano|550| |1976| |16-SEP-2002
266|2800500|-37.071742|-10.9487|2|SE|Aracaju|2800308|Teatro Tobias Barreto|1097|Av.Tancredo Neves, 2.209|Inácio Barbosa|49040-490|AV|TANCREDO NEVES| |2209| |INACIO BARBOSA|49040-490|79|3179-1490|3179-1495| |carlosclay-se@bol.com.br|www.teatro.se.gov.br|Pública|Estadual|1|1.3|1.3.1| |1|0|Italiano|1400|17-MAR-2002|2002| |07-APR-2008
267|2800600|-37.06447|-10.911448|1|SE|Aracaju|2800308|TeatroLourival Batista|1247|Rua Laranjeiras, 2037|Getúlio Vargas|49055-380|R|LARANJEIRAS| |2037| |GETULIO VARGAS|49055-380|79|3179-1970|3179-7551| | |www.teatro.se.gov.br|Pública|Estadual|1|1.3|1.3.1| |1|0|Italiano|300| | | |07-APR-2008
268|2800700|-37.046997|-10.918168|1|SE|Aracaju|2800308|UFSE - Cine-Teatro Juca Barreto|978|Avenida Ivo do Prado, 602|São José|49015-070|AV|IVO DO PRADO| |602| |SAO JOSE|49015-070|79|211-9010|211-9487| | | |Pública|Federal|1|1.3|1.3.1| |1|0|Italiano|179| |1981| |12-APR-1997
269|2800800|-37.166957|-10.803076|1|SE|Laranjeiras|2803609|Teatro Municipal de Laranjeiras|485|Avenida Municipal, s/n|Centro|49170-000|AV|MUNICIPAL| |S/N| |CENTRO|49170-000|79|271-1054| | | | |Pública|Municipal|1|1.3|1.3.1| |2| |Italiano| | | | |31-AUG-1995
270|2900100|-38.408163|-12.119424|2|BA|Alagoinhas|2900702|Cine-Teatro Capitólio|151|Praça Graciliano de Freitas,44| |48100-000|PCA|GRACILIANO DE FREITAS| |44| | |48100-000|75| | | | | |Privada| |1|1.3|1.3.2| |9| |Italiano| | | | |13-SEP-1995
271|2900200|-38.959057|-12.599886|2|BA|Cachoeira|2904902|Cine-Teatro Glória|624|Praça 25 de Julho, s/n|Centro|44300-000|PCA|25 DE JULHO| |S/N| |CENTRO|44300-000|75| | | | | |Pública|Estadual|1|1.3|1.3.1| |2| |Italiano|300| | | |04-SEP-1996
272|2900300|-37.947257|-11.947631|2|BA|Cardeal da Silva|2907004|Teatro Professora Maria José|625|Praça Divina Pastora, 300|Centro|48390-000|PCA|DIVINA PASTORA| |300| |CENTRO|48390-000|75| | | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Arquitetônico Alternativo|100| | | |13-SEP-1995
273|2900400|-38.954288|-12.255415|2|BA|Feira de Santana|2910800|Câmara dos Dirigentes Lojistas - Teatro|1186|Rua Monsenhor Renato Galvão, 173|Centro|44030-410|R|MONSENHOR RENATO GALVAO| |173| |CENTRO|44030-410|75|3602-3636| |3602-3636|espacocultural@cblfs.com.br|http://www.cdlfs.com.br/teatro.php|Privada| |1|1.3|1.3.2| |1| |Italiano|250| |1998| |16-JUN-2008
274|2900500|-38.966655|-12.26687|2|BA|Feira de Santana|2910800|Centro de Cultura|15| | |44052-290| | | |0| | |44052-290|75| | | | | | | |1|1.3| | |8| |Arquitetônico Alternativo| | | | |01-APR-1993
275|2900600|-38.945603|-12.264208|2|BA|Feira de Santana|2910800|Centro de Cultura Amélio Amorim - Teatro|1184|Av. Presidente Dutra, 2.222|Capuchinhos|44100-000|AV|PRESIDENTE DUTRA| |2222| |CAPUCHINHOS|44100-000|75|625-0079| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Arquitetônico Alternativo|470| |1992| |16-SEP-2002
276|2900700|-38.9456|-12.264237|2|BA|Feira de Santana|2910800|Centro de Cultura Amélio Amorim - Teatro de Arena|1196|Av. Presidente Dutra, s/n|Capuchinhos|44000-000|AV|PRESIDENTE DUTRA| |S/N| |CAPUCHINHOS|44000-000|75|625-0079| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Arena|1500| | | |04-SEP-1996
277|2900800|-38.968439|-12.257378|2|BA|Feira de Santana|2910800|Teatro Centro Universitário de Cultura e Artes - CUCA|1182|Rua Conselheiro Franco, 66|Centro|44100-000|R|CONSELHEIRO FRANCO| |66| |CENTRO|44100-000|75|221-9766| |221-9744| | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|290| |1994| |16-SEP-2002
278|2900900|-38.967822|-12.259024|2|BA|Feira de Santana|2910800|Teatro de Arena da UEFS|1183|Av. Conselheiro Franco, 66|Centro|44100-000|AV|CONSELHEIRO FRANCO| |66| |CENTRO|44100-000|75|221-9766| |221-9744| | |Pública|Estadual|1|1.3|1.3.1| |1| |Arena|300| | | |04-SEP-1996
279|2901000|-38.947478|-12.263288|2|BA|Feira de Santana|2910800|Teatro Dona Canô|2203|Rua do Imperador, 142| |44200-000|R|DO IMPERADOR| |142| | |44200-000|75| | | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|274| |2001| |16-SEP-2002
280|2901100|-38.940241|-12.259218|2|BA|Feira de Santana|2910800|Teatro Municipal Margarida Ribeiro|626|Rua José Pereira Mascarenhas, s/n|Capuchinhos|44052-290|R|JOSE PEREIRA MASCARENHAS| |S/N| |CAPUCHINHOS|44052-290|75|221-5079| | |luludab@zipmail.com.br| |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|250| |1982| |16-SEP-2002
281|2901200|-39.03411|-14.798441|2|BA|Ilhéus|2913606|Teatro Municipal de Ilhéus|681|Largo da Cultura, s/n|Centro|45660-000|LRG|DA CULTURA| |S/N| |CENTRO|45660-000|73|231-1861| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|425|22-DEC-1932|1932| |15-SEP-2002
282|2901300|-39.279857|-14.795886|2|BA|Itabuna|2914802|Centro de Cultura Adonias Filho|628|Praça José de Almeida Alcântara, s/n| |45600-000|PCA|JOSE DE ALMEIDA ALCANTARA| |S/N| | |45600-000|73|211-6429| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Arena|500| | | |16-SEP-2002
283|2901400|-40.509304|-9.410383|2|BA|Juazeiro|2918407|Centro Cultural João Gilberto - Teatro|629|Rua José Peititinga, s/n| |48900-000|R|JOSE PEITITINGA| |S/N| | |48900-000|75|611-4322| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|250| |1986| |16-SEP-2002
284|2901500|-40.501788|-9.411076|2|BA|Juazeiro|2918407|Teatro Paulo Autran|156|Avenida Américo Alves, 6| |48900-000|AV|AMERICO ALVES| |6| | |48900-000|73| | | | | | | |1|1.3| | |9| | | | | | |01-JUN-1994
285|2901600|-41.156841|-11.549237|2|BA|Morro do Chapéu|2921708|Teatro Belamino Rocha|2204|Av. Coronel Dias Coelho, 344| |44850-000|AV|CORONEL DIAS COELHO| |344| | |44850-000|74|653-1116| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|118| |1990| |16-SEP-2002
286|2901700|-41.156841|-11.549237|2|BA|Morro do Chapéu|2921708|Teatro Odilon Costa|631|Praça Augusto Públio, 131| |44850-000|PCA|AUGUSTO PUBLIO| |131| | |44850-000|74|653-1172| | | | |Privada| |1|1.3|1.3.2| |1| |Italiano|220| |1944| |16-SEP-2002
287|2901800|-39.069882|-16.445098|1|BA|Porto Seguro|2925303|Teatro do Centro Cultural de Porto Seguro|632|Rua Quinze de Novembro, s/n| |45810-000|R|QUINZE DE NOVEMBRO| |S/N| | |45810-000|73|288-1388|288-1975| | | |Pública|Estadual|1|1.3|1.3.1| |1| |Arena|307| |1986| |13-SEP-1995
288|2901900|-41.810071|-13.583754|2|BA|Rio de Contas|2926707|Teatro São Carlos|633|Praça Gov. Rodrigues Lima, 1| |46170-000|PCA|GOVERNADOR RODRIGUES LIMA| |1| | |46170-000|73|475-2021| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|150| |1892| |16-SEP-2002
289|2902000|-38.508465|-12.971624|2|BA|Salvador|2927408|Casa de Jorge Amado - Café-Teatro Zélia Gattai|1284|Largo do Pelourinho, s/n|Pelourinho|40025-280|LRG|DO PELOURINHO| |S/N| |PELOURINHO|40025-280|71|321-0070| | |fcjamado@svn.com.br| |Privada| |1|1.3|1.3.2| |1| |CC|80| |1998| |16-SEP-2002
290|2902100|-38.501426|-12.972226|2|BA|Salvador|2927408|Centro de Convenções da Bahia-Teatro Iemanjá|683|Rua Jardim Armação, s/n|Armação|41750-270|R|JARDIM ARMACAO| |S/N| |ARMACAO|41750-270|71|245-7324|371-1522| | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|2000| | | |25-MAR-1996
291|2902200|-38.512976|-12.996668|2|BA|Salvador|2927408|Cine-Teatro Lauro de Freitas|146|Avenida São Tiago, s/n|Federação|40200-200|AV|SAO TIAGO| |S/N| |FEDERACAO|40200-200|71| | | | | |Pública|Estadual|1|1.3|1.3.1| |9| |Italiano|300| | | |01-JUN-1994
292|2902300|-38.484413|-12.898543|2|BA|Salvador|2927408|Cine-Teatro Plataforma|139|Praça São Braz, s/n|Plataforma|40710-530|PCA|SAO BRAZ| |S/N| |PLATAFORMA|40710-530|71| | | | | |Pública|Estadual|1|1.3|1.3.1| |9| |Italiano|300| | | |01-JUN-1994
293|2902400|-38.501426|-12.972226|2|BA|Salvador|2927408|Espaço Cultural de Alagados|16|Rua Direita do Uruguai, s/n|Uruguai| |R|DIREITA DO URUGUAI| |S/N| |URUGUAI| |71| | | | | |Pública|Estadual|1|1.3|1.3.1| |8|0|Arquitetônico Alternativo| | | | |01-APR-1993
294|2902500|-38.524143|-13.001602|1|BA|Salvador|2927408|Sala de Arte|2206|Av. Princesa Leopoldina, 398|Graça|40150-080|AV|PRINCESA LEOPOLDINA| |398| |GRACA|40150-080|71|331-1279|331-1686| |saladearte@uol.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|229| |2000| |16-SEP-2002
295|2902600|-38.524239|-12.990011|2|BA|Salvador|2927408|Teatro ACBEU|650|Avenida 7 de Setembro, 1883|Corredor da Vitória|40080-002|AV|7 DE SETEMBRO| |1883| |CORREDOR DA VITORIA|40080-002|71|336-4411|337-4395|337-4395|knajara@acbeubahia.org.br|www.acbeubahia.org.br/hpp/cultural/cultural.htm|Privada| |1|1.3|1.3.2| |1|49|Italiano|438| |1988| |16-SEP-2002
296|2902700|-38.527001|-13.002067|2|BA|Salvador|2927408|Teatro Baiano de Tênis|2016|Av. Princesa Isabel, 36|Graça|40144-000|AV|PRINCESA ISABEL| |36| |GRACA|40144-000|71|336-9411| | | | | | |1|1.3| | |1| |Italiano|220| | | |01-DEC-1998
297|2902800|-38.492905|-13.011108|1|BA|Salvador|2927408|Teatro Caballeros de Santiago|2010|Rua da Paciência, 441|Rio Vermelho|41950-010|R|DA PACIENCIA| |441| |RIO VERMELHO|41950-010|71|334-0241|334-4342| |sociedade@caballeros.com.br| | | |1|1.3| | |1| |Italiano|118| |1996| |16-SEP-2002
298|2902900|-38.519829|-12.989347|2|BA|Salvador|2927408|Teatro Castro Alves|682|Praça Dois de Julho, s/n|Campo Grande|40080-121|PCA|DOIS DE JULHO| |S/N| |CAMPO GRANDE|40080-121|71|339-8000|247-8722|321-3742|webtac@tca.ba.gov.br|www.tca.ba.gov.br/|Pública|Estadual|1|1.3|1.3.1| |1| |Ópera|1554|09-JUL-1958|1958| |15-SEP-2002
299|2903000|-38.519834|-12.989329|2|BA|Salvador|2927408|Teatro Castro Alves - Sala do Coro|1067|Praça Dois de Julho, s/n|Campo Grande|40080-121|PCA|DOIS DE JULHO| |S/N| |CAMPO GRANDE|40080-121|71|339-0004|339-0059|321-3742| | |Pública|Estadual|1|1.3|1.3.1| |1| |Múltiplo|200|04-AUG-1995|1995| |15-SEP-2002
300|2903100|-38.522385|-12.993809|1|BA|Salvador|2927408|Teatro da Escola de Belas Artes da Bahia|622|Rua Araújo Pinho, 212|Canela|40110-150|R|ARAUJO PINHO| |212| |CANELA|40110-150|71|247-4706|247-4247| | | |Pública|Estadual|1|1.3|1.3.1| |1| | | | | | |01-JUN-1994
301|2903200|-38.506831|-12.975912|1|BA|Salvador|2927408|Teatro da Ladeira|2018|Ladeira do Desterro, 23|Nazaré|40040-470|LD|DO DESTERRO| |23| |NAZARE|40040-470|71|242-8350| | | | | | |1|1.3| | |1| |Arquitetônico Alternativo|50| | | |01-DEC-1998
302|2903300|-38.523758|-13.008151|2|BA|Salvador|2927408|Teatro de Arena Calabar|639|Avenida Centenário, 67| |40000-000|AV|CENTENARIO| |67| | |40000-000|71| | | | | |Privada| |1|1.3|1.3.2| |1| |Arquitetônico Alternativo|250| | | |13-SEP-1995
303|2903400|-38.508191|-12.971085|2|BA|Salvador|2927408|Teatro de Arena SESC - Pelourinho|642|Largo do Pelourinho, 19|Centro|40025-280|LRG|DO PELOURINHO| |19| |CENTRO|40025-280|71|322-8273|321-2590| | | |Privada| |1|1.3|1.3.2| |1| |Arena|200| |1998| |16-SEP-2002
304|2903500|-38.508237|-12.971164|2|BA|Salvador|2927408|Teatro de Bolso do Pelourinho|640|Largo do Pelourinho, s/n|Centro|40025-280|LRG|DO PELOURINHO| |S/N| |CENTRO|40025-280|71| | | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Arquitetônico Alternativo|130| | | |13-SEP-1995
305|2903600|-38.510237|-12.981574|2|BA|Salvador|2927408|Teatro Dias Gomes|2207|Rua Francisco Ferraro, 53| |40050-020|R|FRANCISCO FERRARO| |53| | |40050-020|71|322-5522|326-4618| |dodyso@globo.com| |Privada| |1|1.3|1.3.2| |1| |Italiano|146| |2000| |16-SEP-2002
306|2903700|-38.401522|-12.958675|2|BA|Salvador|2927408|Teatro Diplomata|2209|Rua Tamburugy, 474| |41440-680|R|TAMBURUGY| |474| | |41440-680|71| | | |andrea@diplomata.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|453| |1999| |01-SEP-2002
307|2903800|-38.523826|-12.98942|2|BA|Salvador|2927408|Teatro do ICBA|641|Avenida 7 de Setembro, 1809|Corredor da Vitória|40080-002|AV|7 DE SETEMBRO| |1809| |CORREDOR DA VITORIA|40080-002|71|237-0120|337-0120|237-4743|gisalinho@e-net.com.br| |Privada| |1|1.3|1.3.2| |1| |Arena|200| |1972| |16-SEP-2002
308|2903900|-38.499206|-12.967157|2|BA|Salvador|2927408|Teatro do ICEIA|980|Rua Tales de Freitas, s/n|Barbalho|40055-040|R|TALES DE FREITAS| |S/N| |BARBALHO|40055-040|71|242-3835| | | | |Pública|Estadual|1|1.3|1.3.1| |1|0|Italiano|1400| |1949| |16-SEP-2002
309|2904000|-38.511796|-12.98406|1|BA|Salvador|2927408|Teatro Espaço XIS|2013|Rua General Labatut, 27|Barris|40070-100|R|GENERAL LABATUT| |27| |BARRIS|40070-100|71|328-2484| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|187| |1998| |16-SEP-2002
310|2904100|-38.520315|-12.984413|2|BA|Salvador|2927408|Teatro Gamboa|651|Rua Gamboa de Cima, 3|Aflitos|40080-060|R|GAMBOA DE CIMA| |3| |AFLITOS|40080-060|71|329-2418|321-2351| |teatrogamboa@ig.com.br|http://www.teatrogamboa.hpg.com.br|Privada| |1|1.3|1.3.2| |1| |Arquitetônico Alternativo|98| |1976| |16-SEP-2002
311|2904200|-38.49279|-13.011034|2|BA|Salvador|2927408|Teatro Gil Santana|2017|Rua Almerinda Dutra, 67|Rio Vermelho|40210-810|R|ALMERINDA DUTRA| |67| |RIO VERMELHO|40210-810|71|334-7637| |334-7637|gil.santana@uol.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|120| |1997| |16-SEP-2002
